Año,Mes,Fecha,Visitantes
2019,Septiembre,"2019,Septiembre",1459664
2019,Octubre,"2019,Octubre",1656195
2019,Noviembre,"2019,Noviembre",1456429
2019,Mayo,"2019,Mayo",1485684
2019,Marzo,"2019,Marzo",1535641
2019,Junio,"2019,Junio",1476218
2019,Julio,"2019,Julio",1448067
2019,Febrero,"2019,Febrero",1201802
2019,Enero,"2019,Enero",1104803
2019,Diciembre,"2019,Diciembre",1456888
2019,Agosto,"2019,Agosto",1586299
2019,Abril,"2019,Abril",1635066
2020,Marzo,"2020,Marzo",83497
2020,Febrero,"2020,Febrero",685212
2020,Enero,"2020,Enero",1272708
2020,Abril,"2020,Abril",29415
