Lugar,Cantidad_visitantes
China,6629318
Japan,3695581
Taiwan,1424629
USA,1170719
Hong Kong,783159
Thailand,644523
Vietnam,624921
Phillipines,560570
Malaysia,455722
Russia,400628
Indonesia,319442
Singapore,263056
Canada,231090
Overseas Korean,211216
Austrailia,194998
India,160252
UK,159830
Germany,135174
Mongolia,133611
France,123393
Uzbekistan,102088
Myanmar,86977
Asia others,84892
Kazakhstan,61077
Macao,58329
Africa others,54320
Italy,54245
Europe others,52069
Cambodia,50289
America others,47597
New Zealand,44792
Netherland,44743
*GCC,38103
Turkey,35553
Mexico,34580
Spain,33570
Ukraine,31986
Brazil,27120
Poland,27082
Sweden,21429
Sri Lanka,21427
Bangladesh,20824
Swiss,19313
Israel,18346
Pakistan,16313
Belgium,16029
Finland,15756
South Africa,15679
Denmark,14899
Romania,14363
Austria,14092
Norway,12886
Portugal,12531
Ireland,11519
Greece,11317
Bulgaria,7228
Croatia,6821
Oceania others,6168
Iran,4677
Stateless,727
