Year,Real_ounce_closing_price_USD,Nominal_ounce_closing_price_USD
1791,1.29,1.29
1792,1.28,1.28
1793,1.29,1.29
1794,1.26,1.26
1795,1.25,1.25
1796,1.24,1.24
1797,1.26,1.26
1798,1.24,1.24
1799,1.23,1.23
1800,1.24,1.24
1801,1.25,1.25
1802,1.27,1.27
1803,1.26,1.26
1804,1.26,1.26
1805,1.23,1.23
1806,1.25,1.25
1807,1.26,1.26
1808,1.21,1.21
1809,1.21,1.21
1810,1.23,1.23
1811,1.25,1.25
1812,1.20,1.20
1813,1.19,1.19
1814,1.34,1.34
1815,1.42,1.42
1816,1.37,1.37
1817,1.29,1.29
1818,1.26,1.26
1819,1.26,1.26
1820,1.24,1.24
1821,1.22,1.22
1822,1.23,1.23
1823,1.22,1.22
1824,1.23,1.23
1825,1.24,1.24
1826,1.23,1.23
1827,1.23,1.23
1828,1.23,1.23
1829,1.23,1.23
1830,1.23,1.23
1831,1.23,1.23
1832,1.23,1.23
1833,1.22,1.22
1834,1.27,1.27
1835,1.31,1.31
1836,1.32,1.32
1837,1.37,1.37
1838,1.32,1.32
1839,1.32,1.32
1840,1.32,1.32
1841,1.32,1.32
1842,1.30,1.30
1843,1.30,1.30
1844,1.30,1.30
1845,1.30,1.30
1846,1.30,1.30
1847,1.31,1.31
1848,1.30,1.30
1849,1.31,1.31
1850,1.32,1.32
1851,1.34,1.34
1852,1.33,1.33
1853,1.35,1.35
1854,1.35,1.35
1855,1.34,1.34
1856,1.34,1.34
1857,1.36,1.36
1858,1.34,1.34
1859,1.36,1.36
1860,1.35,1.35
1861,1.33,1.33
1862,1.53,1.53
1863,1.95,1.95
1864,2.73,2.73
1865,2.11,2.11
1866,1.89,1.89
1867,1.83,1.83
1868,1.85,1.85
1869,1.76,1.76
1870,1.53,1.53
1871,1.48,1.48
1872,1.49,1.49
1873,1.48,1.48
1874,1.42,1.42
1875,1.43,1.43
1876,1.30,1.30
1877,1.26,1.26
1878,1.16,1.16
1879,1.12,1.12
1880,1.15,1.15
1881,1.13,1.13
1882,1.14,1.14
1883,1.11,1.11
1884,1.11,1.11
1885,1.06,1.06
1886,0.99,0.99
1887,0.98,0.98
1888,0.94,0.94
1889,0.94,0.94
1890,1.05,1.05
1891,0.99,0.99
1892,0.87,0.87
1893,0.78,0.78
1894,0.63,0.63
1895,0.65,0.65
1896,0.68,0.68
1897,0.60,0.60
1898,0.59,0.59
1899,0.60,0.60
1900,0.62,0.62
1901,0.60,0.60
1902,0.53,0.53
1903,0.54,0.54
1904,0.58,0.58
1905,0.61,0.61
1906,0.68,0.68
1907,0.66,0.66
1908,0.53,0.53
1909,0.52,0.52
1910,0.54,0.54
1911,0.54,0.54
1912,0.61,0.61
1913,15.00,0.60
1914,13.75,0.55
1915,12.75,0.51
1916,13.87,0.67
1917,15.27,0.84
1918,15.26,0.98
1919,15.09,1.12
1920,11.89,1.02
1921,8.21,0.63
1922,9.71,0.68
1923,9.29,0.65
1924,9.57,0.67
1925,9.20,0.69
1926,8.00,0.62
1927,8.05,0.57
1928,8.29,0.58
1929,7.57,0.53
1930,5.43,0.38
1931,4.46,0.29
1932,4.67,0.28
1933,6.27,0.35
1934,8.00,0.48
1935,10.83,0.65
1936,7.50,0.45
1937,7.50,0.45
1938,7.33,0.44
1939,6.50,0.39
1940,5.83,0.35
1941,5.60,0.35
1942,5.57,0.39
1943,6.43,0.45
1944,5.94,0.45
1945,6.50,0.52
1946,9.50,0.80
1947,7.58,0.72
1948,7.40,0.74
1949,7.20,0.72
1950,7.22,0.74
1951,8.09,0.89
1952,7.73,0.85
1953,7.50,0.85
1954,7.39,0.85
1955,8.03,0.89
1956,7.80,0.91
1957,7.58,0.91
1958,7.42,0.89
1959,7.38,0.91
1960,7.00,0.91
1961,7.15,0.93
1962,8.38,1.09
1963,9.85,1.28
1964,9.92,1.29
1965,9.50,1.29
1966,9.21,1.29
1967,11.07,1.55
1968,14.59,2.19
1969,11.43,1.80
1970,10.59,1.77
1971,9.00,1.54
1972,9.31,1.68
1973,13.40,2.55
1974,22.16,4.67
1975,19.24,4.43
1976,17.83,4.35
1977,17.94,4.64
1978,19.42,5.42
1979,35.61,11.07
1980,59.53,20.98
1981,27.01,10.49
1982,19.20,7.92
1983,26.82,11.42
1984,18.33,8.14
1985,13.35,6.13
1986,11.65,5.46
1987,14.44,7.02
1988,12.94,6.53
1989,10.38,5.50
1990,8.65,4.83
1991,6.95,4.06
1992,6.57,3.95
1993,6.98,4.31
1994,8.35,5.29
1995,7.96,5.20
1996,7.75,5.20
1997,7.14,4.90
1998,7.95,5.54
1999,7.33,5.22
2000,6.74,4.95
2001,5.77,4.37
2002,5.98,4.60
2003,6.19,4.88
2004,8.25,6.66
2005,8.76,7.31
2006,13.40,11.55
2007,15.09,13.38
2008,16.26,14.99
2009,16.04,14.67
2010,21.67,20.19
2011,36.49,35.12
2012,31.79,31.15
2013,23.89,23.81
2014,18.57,18.80
2015,15.51,15.72
2016,17.10,17.10
2017,17.08,17.08
2018,15.71,15.71
2019,16.20,16.20
2020,20.53,20.53
